handle,name,platform,primary_url,country,language,audience_size,claude_code_content_count,audience_profile,last_claude_code_content_date,contact_channel,outreach_priority,notes
@indydevdan,IndyDevDan (Dan Disler),youtube+x,https://www.youtube.com/@indydevdan,USA,English,127000,20+,solo devs / founders / agentic engineers,2026-04,Twitter DM / indydevdan.com contact,1,"Hardcore agentic engineering focus. Posts weekly at 8am CST. Multi-agent orchestration is core to his worldview — Concerto is a direct product fit to show in a workflow video."
@mattpocockuk,Matt Pocock,x+youtube+blog,https://x.com/mattpocockuk,UK,English,268900,15+,senior TypeScript devs / engineers,2026-05,Twitter DM,1,"268.9K X followers + 199K YT subs. Created Claude Code skills repo (76K GitHub stars). Launching 'Claude Code for Real Engineers' cohort. High trust with senior devs — best for affiliate + review."
@t3dotgg,Theo Browne (t3.gg),youtube+x,https://www.youtube.com/@t3dotgg,USA,English,398000,12+,full-stack devs / TypeScript community / founders,2026-05,Twitter DM,1,"398K YT subs + 332.8K X followers. Built T3 Code (free open-source Claude Code GUI). Opinionated, trusted in TS ecosystem. Perfect for honest review + affiliate deal."
@raroque,Chris Raroque,youtube+x,https://www.youtube.com/@raroque,USA,English,80000,6+,solo app devs / indie hackers / founders,2026-06,Twitter DM,1,"75-85K YT subs. Builds real products (Luna, Ellie) on-camera with Claude Code. Deep on memory/statefulness. Audience of builders = ideal Concerto buyers."
@simonw,Simon Willison,x+blog,https://simonwillison.net,UK/USA,English,132400,12+,all developers / AI practitioners / Python devs,2026-05,Twitter DM,1,"132.4K X followers. Django co-creator. Writes detailed Claude Code teardowns on simonwillison.net. Highly credible technical voice; blog drives significant developer mindshare."
@NickADobos,Nick Dobos,x+youtube,https://x.com/NickADobos,USA,English,52100,15+,developers / iOS devs / builders,2026-05,Twitter DM,1,"52.1K X followers. Prompt engineer at The Browser Company. Prolific Claude Code tweeter — shares hidden updates, workflow tips. Accessible for DM."
@nateherk,Nate Herk,youtube+x,https://www.youtube.com/@nateherk,USA,English,750000,10+,agency owners / automation builders / no-code practitioners,2026-05,Twitter DM / YouTube DM,1,"750K+ YT subs. n8n + Claude Code automation focus. Founded Uppit AI. Audience of agency owners = strong Concerto BYOC buyers."
@jherr,Jack Herrington (Blue Collar Coder),youtube+x,https://www.youtube.com/@JackHerrington,USA,English,162000,6+,React/TypeScript devs / professional engineers,2026-04,Twitter DM,2,"162K YT subs. React ecosystem authority. Multiple Claude Code workflow videos. Credible technical audience. Good fit for segment sponsorship."
@Fireship,Fireship (Jeff Delaney),youtube,https://www.youtube.com/c/Fireship,USA,English,4100000,5+,developers (all levels),2026-04,YouTube DM / contact form,2,"4.1M YT subs. Covers MCP and Claude updates in signature 100-second format. Massive reach but broad audience. Tier 1 sponsored segment."
@swyx,Shawn Wang (swyx),x+podcast,https://x.com/swyx,Singapore/USA,English,121900,8+,AI engineers / developers,2026-04,Twitter DM,2,"121.9K X followers. Latent Space co-host, AI Engineer conference organizer. Claude Code filled largest room at AIE conference. Strong community credibility."
@freekmurze,Freek Van der Herten,x+blog,https://freek.dev,Belgium,English,67400,4+,Laravel/PHP devs / agency devs,2026-04,Twitter DM,2,"67.4K X followers. Spatie partner. 3+ Claude Code posts including setup and design workflow. PHP/Laravel community is underserved by AI tooling — Concerto angle: managed sessions for agency workflows."
@YifanBTH,Yifan (Beyond the Hype),youtube+blog,https://www.youtube.com/@YifanBTH,USA,English,25000,8+,technical devs / skeptical analytical audience / founders,2026-05,Twitter DM / YouTube,2,"25K YT subs (est). Nuanced critical takes on Claude Code. Computer scientist turned founder. His audience trusts him precisely because he is not hype-first — Concerto pitch must be honest."
@graceleungyl,Grace Leung,youtube,https://www.youtube.com/@graceleungyl,Canada,English,127000,6+,marketers / non-technical founders / digital consultants,2026-05,YouTube DM,2,"127K YT subs. 'Claude Code Just Built Me an AI Agent Team' (148K views). Best-produced multi-agent content. Audience of founders/marketers who need orchestration but lack dev skills."
@traversymedia,Brad Traversy (Traversy Media),youtube+x,https://www.youtube.com/@TraversyMedia,USA,English,2400000,5+,web devs / beginners-intermediate,2026-04,Twitter DM,2,"2.4M YT subs + 357.7K X followers. Building 'Coding With AI' course with Claude Code. Said it reignited his passion for building. Tier 1 sponsored segment for broad reach."
@primal_rationalist,Shivang Tripathi,youtube,https://www.youtube.com/@primal_rationalist,India,English,15000,5+,developers / robotics engineers / tech students,2026-04,YouTube DM,3,"15K YT subs (est). Technology and robotics focus. Regular Claude Code content including Max Plan review. Growing channel; accessible for partnership."
@affaan-m,Affaan Mustafa,github+x,https://github.com/affaan-m,USA,English,10500,1+,developers / AI engineers / multi-tool users,2026-04,Twitter DM / GitHub,3,"10.5K X followers. Created everything-claude-code repo (185K GitHub stars). Won Anthropic hackathon. High GitHub credibility; GitHub-first audience."
hesreallyhim,hesreallyhim (anon),github,https://github.com/hesreallyhim/awesome-claude-code,unknown,English,44000,1+,developers building Claude Code workflows,2026-05,GitHub Issues,3,"44K GitHub stars on awesome-claude-code. Primary community curation hub. Identity anonymous but repo is the most-linked Claude Code resource. Can reach via GitHub issues/PR."
@ykdojo,YK (CS Dojo),youtube+github,https://www.youtube.com/@csdojo,USA/Canada,English,1900000,3+,CS students / developers / career-switchers,2025-12,YouTube DM,3,"1.9M YT subs (CS Dojo). Created claude-code-tips repo (8.2K stars). DX Manager at Eventual.ai. Audience is learners who want structured onboarding — Concerto Hosted is a fit."
@NicholasRenotte,Nicholas Renotte,youtube,https://www.youtube.com/@NicholasRenotte,Australia,English,321000,5+,ML/AI practitioners / data scientists,2025-12,YouTube DM,3,"321K YT subs. IBM Chief AI Engineer. Covers agents and MCP servers. Top 1% LinkedIn AI educator in Australia. Data science / ML audience less aligned with Concerto but reachable."
@karozieminski,Karo Zieminski,substack+x,https://karozieminski.substack.com,unknown,English,17000,5+,product managers / AI builders / founders,2026-05,Twitter DM / Substack reply,3,"17K Substack subscribers. 'Product with Attitude'. AI PM. Interviewed Boris Cherny. Bridges PM and dev audience — Concerto pitch: 'manage your team's AI sessions like a product'."
